nome,lat,lon
AV NS 01 COM AV LO 06,-10.173586,-48.33712
AV NS 01 COM AV LO 08,-10.170428,-48.337137
AV NS 01 COM AV LO 08,-10.171037,-48.336837
AV NS 01 COM AV LO 08,-10.170837,-48.336422
AV NS 01 COM AV LO 08,-10.170994,-48.336972
AV NS 01 COM AV LO 08,-10.170803,-48.337155
AV NS 01 COM AV LO 08,-10.170559,-48.337186
AV NS 01 COM AV LO 08,-10.17023,-48.336704
AV NS 01 COM AV LO 08,-10.170787,-48.336399
AV NS 01 COM AV LO 08,-10.170474,-48.336399
AV NS 01 COM AV LO 08,-10.170256,-48.336618
AV NS 01 COM AV LO 09,-10.204963,-48.336863
AV NS 01 COM AV LO 09,-10.204815,-48.336554
AV NS 01 COM AV LO 09,-10.204544,-48.336459
AV NS 01 COM AV LO 09,-10.204627,-48.337278
AV NS 01 COM AV LO 09,-10.204551,-48.337284
AV NS 01 COM AV LO 09,-10.204551,-48.337284
AV NS 01 COM AV LO 09,-10.204487,-48.337279
AV NS 01 COM AV LO 09,-10.204544,-48.336459
AV NS 01 COM AV LO 09,-10.204239,-48.336608
AV NS 01 COM AV LO 09,-10.204145,-48.33687
AV NS 01 COM AV LO 10,-10.167294,-48.334492
AV NS 01 COM AV LO 10,-10.167057,-48.334586
AV NS 01 COM AV LO 10,-10.166824,-48.334529
AV NS 01 COM AV LO 10,-10.1673,-48.33386
AV NS 01 COM AV LO 10,-10.1673,-48.33386
AV NS 01 COM AV LO 10,-10.166774,-48.333855
AV NS 01 COM AV LO 10,-10.16678,-48.334497
AV NS 01 COM AV LO 10,-10.166682,-48.333962
AV NS 01 COM AV LO 11,-10.211249,-48.336746
AV NS 01 COM AV LO 11,-10.211139,-48.336532
AV NS 01 COM AV LO 11,-10.210832,-48.336408
AV NS 01 COM AV LO 11,-10.21092,-48.337227
AV NS 01 COM AV LO 11,-10.210839,-48.337233
AV NS 01 COM AV LO 11,-10.210773,-48.336414
AV NS 01 COM AV LO 11,-10.210443,-48.336753
AV NS 01 COM AV LO 11,-10.21078,-48.337228
AV NS 01 COM AV LO 11,-10.21058,-48.337134
AV NS 01 COM AV LO 11,-10.210444,-48.336894
AV NS 01 COM AV LO 12,-10.164255,-48.331673
AV NS 01 COM AV LO 12,-10.164222,-48.33172
AV NS 01 COM AV LO 12,-10.164183,-48.331164
AV NS 01 COM AV LO 12,-10.163698,-48.331816
AV NS 01 COM AV LO 12,-10.163655,-48.331785
AV NS 01 COM AV LO 12,-10.164112,-48.331109
AV NS 01 COM AV LO 12,-10.163649,-48.331144
AV NS 01 COM AV LO 12,-10.163591,-48.331724
AV NS 01 COM AV LO 12,-10.163555,-48.331255
AV NS 01 COM AV LO 12,-10.163591,-48.331724
AV NS 01 COM AV LO 13,-10.217662,-48.336353
AV NS 01 COM AV LO 13,-10.217396,-48.33647
AV NS 01 COM AV LO 13,-10.217273,-48.336762
AV NS 01 COM AV LO 13,-10.217279,-48.336839
AV NS 01 COM AV LO 13,-10.217273,-48.336762
AV NS 01 COM AV LO 13,-10.21809,-48.336755
AV NS 01 COM AV LO 13,-10.217748,-48.336358
AV NS 01 COM AV LO 13,-10.21809,-48.336755
AV NS 01 COM AV LO 13,-10.217996,-48.337029
AV NS 01 COM AV LO 13,-10.217755,-48.337171
AV NS 01 COM AV LO 14,-10.160307,-48.328248
AV NS 01 COM AV LO 14,-10.160272,-48.328298
AV NS 01 COM AV LO 14,-10.160236,-48.327741
AV NS 01 COM AV LO 14,-10.160162,-48.327683
AV NS 01 COM AV LO 14,-10.159693,-48.327721
AV NS 01 COM AV LO 14,-10.159705,-48.328365
AV NS 01 COM AV LO 14,-10.159602,-48.327829
AV NS 01 COM AV LO 14,-10.160213,-48.328359
AV NS 01 COM AV LO 14,-10.15997,-48.328451
AV NS 01 COM AV LO 14,-10.159745,-48.328393
AV NS 01 COM AV LO 15,-10.224377,-48.33664
AV NS 01 COM AV LO 15,-10.224267,-48.336425
AV NS 01 COM AV LO 15,-10.223951,-48.336303
AV NS 01 COM AV LO 15,-10.224047,-48.33712
AV NS 01 COM AV LO 15,-10.223957,-48.337125
AV NS 01 COM AV LO 15,-10.223901,-48.336308
AV NS 01 COM AV LO 15,-10.22357,-48.336646
AV NS 01 COM AV LO 15,-10.223907,-48.337121
AV NS 01 COM AV LO 15,-10.223713,-48.337032
AV NS 01 COM AV LO 15,-10.223572,-48.336788
AV NS 01 COM AV LO 19,-10.230669,-48.336589
AV NS 01 COM AV LO 19,-10.230539,-48.336354
AV NS 01 COM AV LO 19,-10.230239,-48.336252
AV NS 01 COM AV LO 19,-10.23034,-48.337069
AV NS 01 COM AV LO 19,-10.230245,-48.337074
AV NS 01 COM AV LO 19,-10.230245,-48.337074
AV NS 01 COM AV LO 19,-10.2302,-48.33707
AV NS 01 COM AV LO 19,-10.230239,-48.336252
AV NS 01 COM AV LO 19,-10.229981,-48.336367
AV NS 01 COM AV LO 19,-10.229858,-48.336659
AV NS 01 COM AV LO 21,-10.236967,-48.3366
AV NS 01 COM AV LO 21,-10.236826,-48.336298
AV NS 01 COM AV LO 21,-10.236527,-48.336201
AV NS 01 COM AV LO 21,-10.236632,-48.337018
AV NS 01 COM AV LO 21,-10.236533,-48.337022
AV NS 01 COM AV LO 21,-10.236486,-48.336205
AV NS 01 COM AV LO 21,-10.236155,-48.336544
AV NS 01 COM AV LO 21,-10.236492,-48.337019
AV NS 01 COM AV LO 21,-10.236292,-48.336925
AV NS 01 COM AV LO 21,-10.236157,-48.336686
AV NS 01 COM AV LO 23,-10.243254,-48.336486
AV NS 01 COM AV LO 23,-10.243139,-48.336267
AV NS 01 COM AV LO 23,-10.242815,-48.336151
AV NS 01 COM AV LO 23,-10.242925,-48.336967
AV NS 01 COM AV LO 23,-10.242822,-48.336971
AV NS 01 COM AV LO 23,-10.242778,-48.336154
AV NS 01 COM AV LO 23,-10.242448,-48.336493
AV NS 01 COM AV LO 23,-10.242785,-48.336968
AV NS 01 COM AV LO 23,-10.24259,-48.336878
AV NS 01 COM AV LO 23,-10.242443,-48.336555
AV NS 01 COM AV LO 25,-10.249552,-48.336497
AV NS 01 COM AV LO 25,-10.249437,-48.336221
AV NS 01 COM AV LO 25,-10.249103,-48.3361
AV NS 01 COM AV LO 25,-10.249217,-48.336916
AV NS 01 COM AV LO 25,-10.24911,-48.336919
AV NS 01 COM AV LO 25,-10.249071,-48.336103
AV NS 01 COM AV LO 25,-10.24874,-48.336442
AV NS 01 COM AV LO 25,-10.249077,-48.336917
AV NS 01 COM AV LO 25,-10.248883,-48.336827
AV NS 01 COM AV LO 25,-10.248742,-48.336583
AV NS 01 COM AV LO 27,-10.25539,-48.336049
AV NS 01 COM AV LO 27,-10.255131,-48.336183
AV NS 01 COM AV LO 27,-10.255028,-48.336452
AV NS 01 COM AV LO 27,-10.255845,-48.336445
AV NS 01 COM AV LO 27,-10.255729,-48.336169
AV NS 01 COM AV LO 27,-10.25539,-48.336049
AV NS 01 COM AV LO 27,-10.25551,-48.336864
